title,brand,category,price,battery_life,build_quality,camera,connectivity,customer_service,delivery,design,performance,price_value,screen_display,software_app,sound_audio,total_mentions,overall_score
Logitech X-140 2.0 Speakers,Logitech,All Electronics,59.98,0.0,-1.0,-1.0,0.0,,-1.0,,-1.0,-0.333,,0.0,-0.333,81,-0.518
Logitech X-140 2.0 Speakers,Logitech,All Electronics,59.98,,-1.0,,,,,,,,,-1.0,-1.0,81,-1.0
"Anker Powerline Lightning Cable (3ft), MFi Certified High-Speed Charging Cord Durable for iPhone Xs/XS Max/XR/X / 8/8 Plus / 7/7 Plus, and More (Space Gray)",Anker,Cell Phones & Accessories,9.95,1.0,1.0,,,,,,1.0,1.0,,1.0,,81,1.0
Microsoft Wireless Desktop 800,Microsoft,All Electronics,39.99,-1.0,1.0,,0.0,,1.0,,1.0,1.0,,0.0,,81,0.429
Microsoft Wireless Desktop 800,Microsoft,All Electronics,39.99,1.0,,,0.333,,0.0,,0.333,,,-1.0,,81,0.133
amFilm iPad 2 Screen Protector HD Clear for Apple iPad 4/3/2 and iPad with Retina Display (2-Pack) (NOT for iPad Air/iPad 5),amFilm,Computers,6.99,,-1.0,1.0,,,-1.0,1.0,,0.0,0.25,-0.333,,80,-0.012
Sennheiser PC 350 Collapsible Gaming Headset with Vol Control & Microphone Mute,Sennheiser Consumer Audio,All Electronics,179.95,,1.0,,,-1.0,,-1.0,,1.0,,0.0,0.0,80,0.0
SanDisk Ultra 16GB Class 10 SDHC Memory Card Up To 40MB/s- SDSDUN-0016G-G46 [Older Version],SanDisk,Computers,11.99,,1.0,0.6,,,1.0,,0.25,0.0,,1.0,,80,0.642
Sennheiser PC 350 Collapsible Gaming Headset with Vol Control & Microphone Mute,Sennheiser Consumer Audio,All Electronics,179.95,,0.5,,,,,,,-1.0,,0.0,0.5,80,0.0
amFilm iPad 2 Screen Protector HD Clear for Apple iPad 4/3/2 and iPad with Retina Display (2-Pack) (NOT for iPad Air/iPad 5),amFilm,Computers,6.99,,1.0,,,1.0,1.0,,1.0,0.0,0.5,1.0,,80,0.786
SanDisk Ultra 16GB Class 10 SDHC Memory Card Up To 40MB/s- SDSDUN-0016G-G46 [Older Version],SanDisk,Computers,11.99,,1.0,0.5,,,,1.0,1.0,1.0,,-1.0,,80,0.583
Sony BDPS3200 Blu-ray Disc Player with Wi-Fi (2014 Model),Sony,All Electronics,179.99,,0.0,,0.0,-0.333,1.0,,,1.0,-1.0,-0.667,,79,-0.0
Sony BDPS3200 Blu-ray Disc Player with Wi-Fi (2014 Model),Sony,All Electronics,179.99,,,-1.0,-1.0,,,-1.0,,0.0,0.0,1.0,,79,-0.333
Toshiba Canvio Basics 2TB Portable Hard Drive - Black (HDTB320XK3CA),Toshiba,Computers,84.9,-0.333,,,1.0,,,1.0,-1.0,1.0,,-1.0,,79,0.111
Toshiba Canvio Basics 2TB Portable Hard Drive - Black (HDTB320XK3CA),Toshiba,Computers,84.9,1.0,1.0,-1.0,0.0,-1.0,1.0,,,-0.333,,-1.0,,79,-0.042
"Belkin Single Outlet MasterCube Wall-Mount Surge Protector, 1045 Joules (F9H120-CW)",Belkin,Home Audio & Theater,9.0,0.5,-1.0,,,,,1.0,,1.0,,-1.0,1.0,78,0.25
"Belkin Single Outlet MasterCube Wall-Mount Surge Protector, 1045 Joules (F9H120-CW)",Belkin,Home Audio & Theater,9.0,1.0,1.0,,,-1.0,,,,0.5,,1.0,,78,0.5
"Hauppauge - HD PVR 2 Gaming Edition High Definition Game Capture Device – model 1480,Black",Hauppauge,Computers,119.99,-1.0,-0.6,-1.0,-1.0,-0.333,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,-1.0,77,-0.878
TP-Link AC1200 Wireless Wi-Fi Gigabit Router (Archer C5),TP-Link,Computers,106.69,,1.0,,0.5,-1.0,,,1.0,1.0,,1.0,,77,0.583
"Hauppauge - HD PVR 2 Gaming Edition High Definition Game Capture Device – model 1480,Black",Hauppauge,Computers,119.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,77,1.0
TP-Link AC1200 Wireless Wi-Fi Gigabit Router (Archer C5),TP-Link,Computers,106.69,,1.0,,0.333,-1.0,,1.0,0.333,0.0,,1.0,,77,0.381
"Bose SoundTrue Headphones Around-Ear Style, Black",Bose,Home Audio & Theater,127.95,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,77,1.0
"Bose SoundTrue Headphones Around-Ear Style, Black",Bose,Home Audio & Theater,127.95,,,,,,,,,,,1.0,1.0,77,1.0
1ft (0.3M) 18AWG (Power Extension Cord) Power Extension Cable 1 Feet (0.3 Meters) 3 Conductor (NEMA 5-15P to NEMA 5-15R) 10 Amp Power Cable CNE01914 (5 Pack),C&E,Home Audio & Theater,17.99,0.0,1.0,,,,1.0,,1.0,,,,,76,0.75
Logitech Rechargeable Touchpad T650 with Windows 8 Multi-Touch Navigation - Black,Logitech,Computers,139.99,,,,,-1.0,,,,-1.0,,-0.75,,76,-0.917
Samsung BD-F5700 Wi-Fi Blu-Ray Player (2013 Model),SAMSUNG,All Electronics,64.99,-1.0,,1.0,0.5,-1.0,1.0,0.333,1.0,1.0,,0.2,0.0,76,0.303
"WD 2TB Elements Portable External Hard Drive HDD, USB 3.0, Compatible with PC, Mac, PS4 & Xbox - WDBU6Y0020BBK-WESN",Western Digital,Computers,74.88,,,0.0,1.0,,,1.0,0.6,1.0,,-1.0,,76,0.433
1ft (0.3M) 18AWG (Power Extension Cord) Power Extension Cable 1 Feet (0.3 Meters) 3 Conductor (NEMA 5-15P to NEMA 5-15R) 10 Amp Power Cable CNE01914 (5 Pack),C&E,Home Audio & Theater,17.99,-0.667,-1.0,,-1.0,,,-1.0,,0.0,,-0.333,,76,-0.667
Seasonic G Series 650 SSR-650RM 650W 80+ Gold ATX12V & EPS12V Semi-Modular SLI Ready CrossFire Ready 105 °C Japanese Capacitor 5 Year Warranty Power Supply,Seasonic,Computers,168.68,-1.0,-0.5,,,,-1.0,-1.0,,-1.0,,-0.333,,76,-0.806
Logitech Rechargeable Touchpad T650 with Windows 8 Multi-Touch Navigation - Black,Logitech,Computers,139.99,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,76,1.0
Seasonic G Series 650 SSR-650RM 650W 80+ Gold ATX12V & EPS12V Semi-Modular SLI Ready CrossFire Ready 105 °C Japanese Capacitor 5 Year Warranty Power Supply,Seasonic,Computers,168.68,0.0,-1.0,1.0,,,-1.0,,-1.0,-1.0,,0.0,,76,-0.429
Arkon Removable Swivel Air Vent GPS Car Mount Holder for Garmin nuvi 40 50 200 2013 24x5 25x5 GPS,ARKON,Cell Phones & Accessories,7.2,,-1.0,,,-1.0,,1.0,1.0,,,0.333,,76,0.067
Arkon Removable Swivel Air Vent GPS Car Mount Holder for Garmin nuvi 40 50 200 2013 24x5 25x5 GPS,ARKON,Cell Phones & Accessories,7.2,,0.0,,1.0,,,,1.0,0.5,1.0,0.0,,76,0.583
Canon PowerShot Pro Series S3 IS 6MP with 12x Image Stabilized Zoom (Discontinued by Manufacturer),Canon,Camera & Photo,109.89,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.5,,76,0.938
"WD 2TB Elements Portable External Hard Drive HDD, USB 3.0, Compatible with PC, Mac, PS4 & Xbox - WDBU6Y0020BBK-WESN",Western Digital,Computers,74.88,1.0,,1.0,,,,1.0,1.0,-1.0,,1.0,,76,0.667
Canon PowerShot Pro Series S3 IS 6MP with 12x Image Stabilized Zoom (Discontinued by Manufacturer),Canon,Camera & Photo,109.89,,1.0,0.0,,1.0,,0.0,-1.0,0.333,0.0,0.0,-1.0,76,0.037
Samsung BD-F5700 Wi-Fi Blu-Ray Player (2013 Model),SAMSUNG,All Electronics,64.99,,,-1.0,-1.0,,,,,,,-1.0,-1.0,76,-1.0
"TP-Link SafeStream TL-480T+ 10/100 Broadband Desktop/Rackmount Loadbalance Router, 150M NAT throughput, 30k Concurrent Sessions, VLAN, Multi-NAT, 4 WAN Load balance or auto failover",TP-Link,All Electronics,79.48,,,,,,,,,1.0,,,,75,1.0
"ViewTV Digital TV Converter Box for Analog TV - AT-163 OTA DVR, PVR Digital TV Recorder and ATSC Tuner Features A Built in USB Port, HDMI and Coaxial Output, Bright LED Clock and is Easy to Use",ViewTV,All Electronics,199.0,-1.0,1.0,1.0,1.0,,,,,,,-1.0,,75,0.2
"ViewTV Digital TV Converter Box for Analog TV - AT-163 OTA DVR, PVR Digital TV Recorder and ATSC Tuner Features A Built in USB Port, HDMI and Coaxial Output, Bright LED Clock and is Easy to Use",ViewTV,All Electronics,199.0,1.0,1.0,0.0,1.0,-1.0,0.0,,-1.0,-1.0,,0.333,-1.0,75,-0.067
"Bose AE2 Around-Ear Audio Headphones, Black",Bose,Home Audio & Theater,113.93,,-1.0,,,,,-1.0,,-0.5,,-1.0,-0.2,75,-0.74
"TP-Link SafeStream TL-480T+ 10/100 Broadband Desktop/Rackmount Loadbalance Router, 150M NAT throughput, 30k Concurrent Sessions, VLAN, Multi-NAT, 4 WAN Load balance or auto failover",TP-Link,All Electronics,79.48,,,,,-1.0,-1.0,,,-1.0,,,,75,-1.0
"Bose AE2 Around-Ear Audio Headphones, Black",Bose,Home Audio & Theater,113.93,,0.5,,,0.0,,1.0,,0.0,,-0.5,0.4,75,0.233
Bose QuietComfort 2 Acoustic Noise Canceling Headphones (Old Version),Bose,All Electronics,97.93,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,74,1.0
58MM Altura Photo Collapsible Rubber Lens Hood for Camera Lens with 58MM Filter Thread,Altura Photo,Camera & Photo,9.99,,,1.0,,,1.0,1.0,,1.0,,,,74,1.0
Bose QuietComfort 2 Acoustic Noise Canceling Headphones (Old Version),Bose,All Electronics,97.93,-1.0,-1.0,,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,74,-1.0
58MM Altura Photo Collapsible Rubber Lens Hood for Camera Lens with 58MM Filter Thread,Altura Photo,Camera & Photo,9.99,,1.0,0.333,,,1.0,-1.0,,1.0,,,,74,0.467
"TRENDnet USB to PS/2 Converter, Easy Install, Universal Plug & Play, USB 1.1/2.0/3.0, Windows 8.1/8/7, Vista, XP, Mac OS 10.4-10.9, 13-inch Length, TU-PS2",TRENDnet,All Electronics,19.99,0.0,,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,73,-0.889
JBL Flip 2 Portable Bluetooth Speaker (White),JBL,All Electronics,70.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.6,73,0.844
"Nikon 7072 Lens Pen Cleaning System, Black",Nikon,Camera & Photo,8.95,,1.0,-0.333,,,,-1.0,-1.0,1.0,,1.0,,73,0.111
ArmorSuit MilitaryShield - Apple iPad 4 with Retina Display / iPad 3 / iPad 2 Screen Protector Shield + Lifetime Replacements,ArmorSuit,Computers,19.99,,,,,-1.0,,,,,,,,73,-1.0
ArmorSuit MilitaryShield - Apple iPad 4 with Retina Display / iPad 3 / iPad 2 Screen Protector Shield + Lifetime Replacements,ArmorSuit,Computers,19.99,,0.0,1.0,,1.0,,,,0.333,0.333,0.333,,73,0.5
"TRENDnet USB to PS/2 Converter, Easy Install, Universal Plug & Play, USB 1.1/2.0/3.0, Windows 8.1/8/7, Vista, XP, Mac OS 10.4-10.9, 13-inch Length, TU-PS2",TRENDnet,All Electronics,19.99,,,,0.333,,-1.0,,,,,0.333,,73,-0.111
JBL Flip 2 Portable Bluetooth Speaker (White),JBL,All Electronics,70.0,0.0,-1.0,,,,,,,1.0,,,0.4,73,0.1
"Nikon 7072 Lens Pen Cleaning System, Black",Nikon,Camera & Photo,8.95,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,73,1.0
Amazon Basics Adjustable Tablet Holder Portable Stand - Black,Amazon Basics,Computers,8.79,,0.75,,0.0,,1.0,0.75,1.0,1.0,,0.0,,72,0.643
Amazon Basics Adjustable Tablet Holder Portable Stand - Black,Amazon Basics,Computers,8.79,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,72,1.0
TP-Link N600 Wireless Wi-Fi Dual Band Router (TL-WDR3500),TP-Link,Computers,145.74,,0.0,,-0.667,-0.75,-1.0,,-1.0,0.0,,-0.25,,72,-0.524
"ViewTV Outdoor TV Antenna, Amplified HDTV Digital Antenna, Dual Output TV Antenna, Motorized 360 Degree Rotation, Wireless Remote Control, 1080p 4K, 150 Miles Range with 40 ft coax Cable",ViewTV,All Electronics,34.99,1.0,1.0,1.0,-1.0,,1.0,,-1.0,1.0,,-0.333,,72,0.333
"VideoSecu Mount Articulating TV Wall Mount for Most 32"" 37"" 39"" 40"" 42"" 46"" 47"" 50"" 52"" 55"" 58"" 60"" 62"" 63"" 65"" LCD LED Plasma Flat Panel TV with VESA from 200x100 to 400x400, 600x400mm MW365BBM7 BM7",VideoSecu,All Electronics,49.99,,0.0,,,-1.0,1.0,0.0,1.0,-1.0,,1.0,,72,0.143
TP-Link N600 Wireless Wi-Fi Dual Band Router (TL-WDR3500),TP-Link,Computers,145.74,1.0,-1.0,0.0,-0.5,-1.0,-1.0,,0.0,0.0,,-0.333,,72,-0.315
"ViewTV Outdoor TV Antenna, Amplified HDTV Digital Antenna, Dual Output TV Antenna, Motorized 360 Degree Rotation, Wireless Remote Control, 1080p 4K, 150 Miles Range with 40 ft coax Cable",ViewTV,All Electronics,34.99,,-1.0,,-1.0,,,,,0.0,,-1.0,,72,-0.75
"VideoSecu Mount Articulating TV Wall Mount for Most 32"" 37"" 39"" 40"" 42"" 46"" 47"" 50"" 52"" 55"" 58"" 60"" 62"" 63"" 65"" LCD LED Plasma Flat Panel TV with VESA from 200x100 to 400x400, 600x400mm MW365BBM7 BM7",VideoSecu,All Electronics,49.99,1.0,0.333,,,,-1.0,0.0,-1.0,0.333,-1.0,0.0,,72,-0.167
"SanDisk microSDHC 32GB Flash Memory Card, Black, SDSDQM-032G-B35 (Retail Packaging)",SanDisk,All Electronics,10.0,,0.0,0.0,,-1.0,-0.5,-1.0,0.333,0.0,,0.333,,71,-0.229
"SanDisk microSDHC 32GB Flash Memory Card, Black, SDSDQM-032G-B35 (Retail Packaging)",SanDisk,All Electronics,10.0,,1.0,0.0,,-1.0,1.0,1.0,1.0,1.0,,1.0,,71,0.625
"Logitech Easy‑Switch K811 Wireless Bluetooth Keyboard for Mac, iPad, iPhone, Apple TV",Logitech,Computers,139.99,1.0,0.0,,1.0,,,1.0,1.0,,1.0,1.0,,71,0.857
Canon PowerShot ELPH 330 12.1MP Digital Camera with 10x Optical Image Stabilized Zoom with 3-Inch LCD (Black),Canon,Camera & Photo,279.99,,,0.0,,,,,,-1.0,,,,71,-0.5
Canon PowerShot ELPH 330 12.1MP Digital Camera with 10x Optical Image Stabilized Zoom with 3-Inch LCD (Black),Canon,Camera & Photo,279.99,-1.0,0.333,0.333,,-1.0,,,-1.0,,1.0,-1.0,,71,-0.333
"TP-Link NFC-Enabled Bluetooth 4.1 Receiver, Wireless Audio Adapter Streaming Music from Echo Smart Phone Tablet PC to Home Car Stereo Sound System (HA100)",TP-Link,Cell Phones & Accessories,39.99,,1.0,,1.0,,,,,,,1.0,1.0,71,1.0
"TP-Link NFC-Enabled Bluetooth 4.1 Receiver, Wireless Audio Adapter Streaming Music from Echo Smart Phone Tablet PC to Home Car Stereo Sound System (HA100)",TP-Link,Cell Phones & Accessories,39.99,-1.0,0.0,,0.0,,0.0,1.0,-1.0,1.0,,-1.0,0.0,71,-0.111
Cable Matters HDMI to VGA Adapter (HDMI to VGA Converter/VGA to HDMI Adapter) in Black,Cable Matters,All Electronics,11.99,1.0,,,0.0,,1.0,1.0,,,1.0,0.0,,71,0.667
Cable Matters HDMI to VGA Adapter (HDMI to VGA Converter/VGA to HDMI Adapter) in Black,Cable Matters,All Electronics,11.99,-1.0,1.0,-1.0,-1.0,,,1.0,,,,1.0,,71,0.0
"Logitech Easy‑Switch K811 Wireless Bluetooth Keyboard for Mac, iPad, iPhone, Apple TV",Logitech,Computers,139.99,1.0,0.0,,1.0,,,1.0,,,,1.0,,71,0.8
"Microsoft Sculpt Ergonomic Wireless Desktop Keyboard and Mouse - Black. Wireless , Comfortable, Ergonomic Keyboard and Mouse Combo with Split Design and Palm Rest.",Microsoft,Computers,114.99,0.0,0.0,,-1.0,-1.0,,-0.5,,,-1.0,-0.6,,70,-0.586
"Eagletec K104 Wireless Keyboard and Mouse Combo Slim, Flat & Quiet, Ergonomic Full Size 104 Keys Keyboard & Portable Wireless Mouse for Windows PC (Black Wireless Keyboard & Mouse Set)",EagleTec,Computers,21.99,,,,,,,,1.0,1.0,,-1.0,,70,0.333
"Microsoft Sculpt Ergonomic Wireless Desktop Keyboard and Mouse - Black. Wireless , Comfortable, Ergonomic Keyboard and Mouse Combo with Split Design and Palm Rest.",Microsoft,Computers,114.99,,0.0,,0.0,,,0.0,1.0,-1.0,,0.333,,70,0.056
Microsoft Wireless Notebook Optical Mouse 3000- Winter Blue,Microsoft,All Electronics,54.99,0.0,1.0,,,,,1.0,,-0.333,,0.0,,70,0.333
"AC Infinity MULTIFAN S3, Quiet 120mm USB Fan, UL-Certified for Receiver DVR Playstation Xbox Computer Cabinet Cooling",AC Infinity,Computers,13.99,1.0,0.0,,,,0.5,,,1.0,,0.0,0.0,70,0.417
"AC Infinity MULTIFAN S3, Quiet 120mm USB Fan, UL-Certified for Receiver DVR Playstation Xbox Computer Cabinet Cooling",AC Infinity,Computers,13.99,,,,,,1.0,,0.0,,,-0.333,1.0,70,0.417
RCA ANT1650F Flat Digital Amplified Indoor TV Antenna,RCA,Home Audio & Theater,41.36,,1.0,,-1.0,-1.0,,,,,,,,70,-0.333
"Eagletec K104 Wireless Keyboard and Mouse Combo Slim, Flat & Quiet, Ergonomic Full Size 104 Keys Keyboard & Portable Wireless Mouse for Windows PC (Black Wireless Keyboard & Mouse Set)",EagleTec,Computers,21.99,0.0,1.0,,0.333,-1.0,,1.0,,0.333,,0.0,,70,0.238
Microsoft Wireless Notebook Optical Mouse 3000- Winter Blue,Microsoft,All Electronics,54.99,1.0,0.333,-1.0,0.333,,,0.0,-1.0,1.0,,1.0,,70,0.208
WD My Passport Essential SE 1 TB USB 3.0/2.0 Ultra Portable External Hard Drive (Silver),Western Digital,All Electronics,128.87,,1.0,,,1.0,,0.0,1.0,1.0,,1.0,,70,0.833
NETGEAR FS105NA - Discontinued by Manufacturer,NETGEAR,All Electronics,57.89,1.0,1.0,,1.0,,1.0,1.0,,1.0,,0.0,,70,0.857
NETGEAR FS105NA - Discontinued by Manufacturer,NETGEAR,All Electronics,57.89,0.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,0.75,,70,-0.361
WD My Passport Essential SE 1 TB USB 3.0/2.0 Ultra Portable External Hard Drive (Silver),Western Digital,All Electronics,128.87,,0.5,1.0,,,1.0,,1.0,,,0.5,,70,0.8
RCA ANT1650F Flat Digital Amplified Indoor TV Antenna,RCA,Home Audio & Theater,41.36,-1.0,,-1.0,-1.0,-1.0,,1.0,,-1.0,,-1.0,-1.0,70,-0.75
"Wasabi Power Battery Charger for Canon LP-E8, LC-E8, LC-E8E, LC-E8C and Canon EOS 550D, EOS 600D, EOS Rebel T2i, EOS Rebel T3i, EOS Rebel T4i, EOS Rebel T5i",Wasabi Power,Camera & Photo,9.99,0.375,,0.333,,,0.0,-1.0,,0.333,,-0.5,,69,-0.077
"VideoSecu 24"" Long Arm TV Wall Mount Low Profile Articulating Full Motion Swing Tilt Wall Bracket for Most 22"" to 55"" LED LCD UHD TV Monitor Flat Screen VESA 200x200 400x400 up to 600x400mm MAH",VideoSecu,All Electronics,34.99,,,,,,,,,,,1.0,,69,1.0
"Wasabi Power Battery Charger for Canon LP-E8, LC-E8, LC-E8E, LC-E8C and Canon EOS 550D, EOS 600D, EOS Rebel T2i, EOS Rebel T3i, EOS Rebel T4i, EOS Rebel T5i",Wasabi Power,Camera & Photo,9.99,1.0,,1.0,,,,1.0,,1.0,,1.0,,69,1.0
TASCAM DR-05 Portable Digital Recorder (Version 2),Tascam,Musical Instruments,169.99,1.0,1.0,1.0,,,,,1.0,1.0,,0.667,1.0,69,0.952
TASCAM DR-05 Portable Digital Recorder (Version 2),Tascam,Musical Instruments,169.99,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,69,1.0
"Altura Photo Camera Sling Bag DSLR - Camera Backpack for Canon, Nikon, Sony & GoPro Bag - Crossbody Camera Bag for Photographers - Camera Accessories",Altura Photo,All Electronics,49.99,1.0,0.2,0.333,,,1.0,1.0,1.0,,-1.0,0.2,,69,0.467
"VideoSecu 24"" Long Arm TV Wall Mount Low Profile Articulating Full Motion Swing Tilt Wall Bracket for Most 22"" to 55"" LED LCD UHD TV Monitor Flat Screen VESA 200x200 400x400 up to 600x400mm MAH",VideoSecu,All Electronics,34.99,,0.333,1.0,,,1.0,,,0.0,,1.0,,69,0.667
"Altura Photo Camera Sling Bag DSLR - Camera Backpack for Canon, Nikon, Sony & GoPro Bag - Crossbody Camera Bag for Photographers - Camera Accessories",Altura Photo,All Electronics,49.99,,,-0.5,,,,0.0,,1.0,,,,69,0.167
"Logitech Wireless Anywhere Mouse MX for PC and Mac, black",Logitech,Computers,79.95,0.2,-0.333,,1.0,-1.0,,-1.0,,-1.0,,-0.333,,69,-0.352
"Acer Chromebook, 11.6-Inch, CB3-111-C670 (Intel Celeron, 2GB, 16GB SSD, White) **Discontinued by Manufacturer**",acer,Computers,159.95,-1.0,-1.0,,-1.0,,,,1.0,-1.0,-1.0,-1.0,-1.0,69,-0.75
"Acer Chromebook, 11.6-Inch, CB3-111-C670 (Intel Celeron, 2GB, 16GB SSD, White) **Discontinued by Manufacturer**",acer,Computers,159.95,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,69,0.889
"Logitech Wireless Anywhere Mouse MX for PC and Mac, black",Logitech,Computers,79.95,1.0,1.0,,1.0,,,0.333,-1.0,,,0.0,,69,0.389
Nikon AF-S DX NIKKOR 16-85mm f/3.5-5.6G ED Vibration Reduction Zoom Lens with Auto Focus for Nikon DSLR Cameras,Nikon,Camera & Photo,139.99,,,1.0,,,,,,,,,,68,1.0
"iXCC MFi Lightning Cable 10ft, iPhone Charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad Mini 2 3 4, iPad 4th Gen (Black)",iXCC,Computers,15.99,0.333,-0.333,,,-1.0,,-1.0,,0.0,,-1.0,,68,-0.5
"iXCC MFi Lightning Cable 10ft, iPhone Charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad Mini 2 3 4, iPad 4th Gen (Black)",iXCC,Computers,15.99,0.333,1.0,,1.0,,,1.0,,1.0,,1.0,,68,0.889
"Altura Photo Camera Neck Strap w. Quick Release & Safety Tether - Camera Straps For Photographers - Adjustable DSLR Camera Strap for Sony, Nikon & Canon - Safe & Secure Camera Strap Quick Release",Altura Photo,Camera & Photo,24.99,,1.0,-0.333,,-1.0,,1.0,,1.0,,0.0,,68,0.278
"Altura Photo Camera Neck Strap w. Quick Release & Safety Tether - Camera Straps For Photographers - Adjustable DSLR Camera Strap for Sony, Nikon & Canon - Safe & Secure Camera Strap Quick Release",Altura Photo,Camera & Photo,24.99,,1.0,1.0,,,,1.0,,1.0,,0.0,,68,0.8
Alphasonik Premium In Ear Noise Isolating Headset Earphones/Earbuds/Headphones with Stereo Microphone & Remote Control Made for Apple iPhone iPad iPod Samsung Galaxy and More IOS/Android Smartphones,Sony,Home Audio & Theater,9.95,,,,,,,,,-1.0,,-1.0,-1.0,68,-1.0
Nikon AF-S DX NIKKOR 16-85mm f/3.5-5.6G ED Vibration Reduction Zoom Lens with Auto Focus for Nikon DSLR Cameras,Nikon,Camera & Photo,139.99,,-0.333,0.2,,-1.0,,0.333,1.0,-1.0,-1.0,-0.333,1.0,68,-0.126
Alphasonik Premium In Ear Noise Isolating Headset Earphones/Earbuds/Headphones with Stereo Microphone & Remote Control Made for Apple iPhone iPad iPod Samsung Galaxy and More IOS/Android Smartphones,Sony,Home Audio & Theater,9.95,,0.75,,,1.0,,,,0.0,,1.0,0.286,68,0.607
Garmin nüvi 265W/265WT 4.3-Inch Widescreen Bluetooth Portable GPS Navigator with Traffic (Discontinued by Manufacturer),Garmin,GPS & Navigation,49.99,1.0,,,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,,67,0.5
Sanoxy 3.5mm Stereo Male to Female Extension Cable 25 ft.,C&E,Home Audio & Theater,9.99,,1.0,,-1.0,,,,,,,,0.2,67,0.067
Bamboo Solo Stylus for iPad - Black (CS100K) [Old Version],Wacom,Computers,8.99,,-1.0,,,,,-1.0,-1.0,-1.0,,-1.0,,67,-1.0
Sanoxy 3.5mm Stereo Male to Female Extension Cable 25 ft.,C&E,Home Audio & Theater,9.99,,0.333,-1.0,,-1.0,-1.0,1.0,,1.0,,0.2,1.0,67,0.067
"Kensington Mouse-in-a-Box and Keyboard Wired USB Desktop Set (K72436AM), Black",Kensington,Computers,20.95,1.0,0.0,,1.0,0.0,,0.667,,1.0,,0.5,,67,0.595
"Kensington Mouse-in-a-Box and Keyboard Wired USB Desktop Set (K72436AM), Black",Kensington,Computers,20.95,,1.0,,-1.0,1.0,-1.0,1.0,,1.0,,1.0,,67,0.429
Canon PowerShot SX210IS 14.1 MP Digital Camera with 14x Wide Angle Optical Image Stabilized Zoom and 3.0-Inch LCD (Purple),Canon,Camera & Photo,128.0,0.0,1.0,0.333,,,,0.333,0.0,,-1.0,0.333,-1.0,67,-0.0
Canon PowerShot SX210IS 14.1 MP Digital Camera with 14x Wide Angle Optical Image Stabilized Zoom and 3.0-Inch LCD (Purple),Canon,Camera & Photo,128.0,0.333,,0.333,-1.0,1.0,,0.0,0.0,1.0,,1.0,,67,0.333
Xonar Dg Amp 5.1 Pci Sound Card Gx 2.5 Gaming Dolby Headphone,ASUS,Computers,19.99,,-1.0,-0.5,,-1.0,-1.0,-1.0,-1.0,-1.0,,-0.4,-0.4,67,-0.811
Xonar Dg Amp 5.1 Pci Sound Card Gx 2.5 Gaming Dolby Headphone,ASUS,Computers,19.99,,,,1.0,1.0,,,,,-1.0,0.5,0.6,67,0.42
Sony NSZ-GT1 1080p Blu-ray Disc Player Featuring Google TV with Built-In Wi-Fi,Sony,All Electronics,99.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67,-1.0
Bamboo Solo Stylus for iPad - Black (CS100K) [Old Version],Wacom,Computers,8.99,,0.333,,,,,,1.0,0.5,1.0,0.333,,67,0.633
Garmin nüvi 265W/265WT 4.3-Inch Widescreen Bluetooth Portable GPS Navigator with Traffic (Discontinued by Manufacturer),Garmin,GPS & Navigation,49.99,-1.0,,,,-1.0,1.0,-1.0,,,,0.5,-0.5,67,-0.333
NETGEAR AC1200 Wireless WiFi Range Extender (EX6200),NETGEAR,Computers,69.79,1.0,,,-0.5,-1.0,,,1.0,,,0.0,,67,0.1
"Zalman ZM-MIC1 High Sensitivity Headphone Microphone with Mini Clip, Computer PC Streaming Gaming Mic, 3.5mm Jack",Zalman,All Electronics,8.37,,-1.0,-1.0,,,,,,-0.333,,-1.0,-0.5,67,-0.767
NETGEAR AC1200 Wireless WiFi Range Extender (EX6200),NETGEAR,Computers,69.79,,1.0,,-0.2,-0.5,,1.0,0.333,1.0,,-0.333,,67,0.329
